უჟეჟთაეს-	höchster
წმიდა-ყოფა-ჲ	Heiligung
მზა-ყოფა-ჲ	Vorbereiten, Bereiten
ექუსორია-ყოფა-ჲ	Vertreiben, Austreiben, Verbannen
ექსორია-ყოფა-ჲ	Vertreiben, Austreiben, Verbannen
ჰურია-ყოფა-ჲ	Judentum, jüdischer Glaube
უზმა-ყოფა-ჲ	Fasten
მონა-ყოფა-ჲ	Versklavung
თანამდებ-ყოფა-ჲ	Aufsichnehmen
მალემორბედ-ყოფა-ჲ	Antreiben zur Eile
მოქმედ-ყოფა-ჲ	Machen, Tun
თანამოქმედ-ყოფა-ჲ	Unterstützen
დიდ-ყოფა-ჲ	Vorgesetztenstatus, Chefsein
განმგე-ყოფა-ჲ	Verstehen
კიდე-ყოფა-ჲ	Entfernen, Trennen
მეშფოთე-ყოფა-ჲ	Aufruhrstiften, Unruhestiften
მესათხევლე-ყოფა-ჲ	zum Fischer Machen, Fischer Werden, Fischer sein
მოქენე-ყოფა-ჲ	Flehen, Bitten
მდებარე-ყოფა-ჲ	Liegen, Sein
ქმართმოყუარე-ყოფა-ჲ	Liebe zum Ehemann
ძლევისმოყუარე-ყოფა-ჲ	Siegesgewohnheit, Stolz
სიმდიდრე-ყოფა-ჲ	Reichwerden, Bereicherung, Reichtum
გულსავსე-ყოფა-ჲ	überzeugung, Glaube
პურისმტე-ყოფა-ჲ	gemeinsames Essen
მწიფე-ყოფა-ჲ	Reifen, Reifenlassen
თანამოღუაწე-ყოფა-ჲ	Unterstützen, Mitwirken, Mitkämpfen
თანაშემწე-ყოფა-ჲ	Helfen
თავ-ყოფა-ჲ	Verehren
მოსავ-ყოფა-ჲ	Hoffen
სარეწავ-ყოფა-ჲ	Gewinnen, Erwerben
ნაგევ-ყოფა-ჲ	Verwandlung in Abfall
მიზეზ-ყოფა-ჲ	Vorschützen, Vorgeben
თუალთ-ყოფა-ჲ	Augenwink
მამაშვილთ-ყოფა-ჲ	Verhältnis von Vater und Kindern
გლახაკ-ყოფა-ჲ	Verarmen
წარმავალ-ყოფა-ჲ	Vergänglichkeit
თანაწარუვალ-ყოფა-ჲ	Notwendigkeit, Unumstößlichkeit
თუალ-ყოფა-ჲ	Winken mit den Augen
თავისუფალ-ყოფა-ჲ	Befreien
ცოცხალ-ყოფა-ჲ	Leben
განმგებელ-ყოფა-ჲ	Verstehen
დამამშჳდებელ-ყოფა-ჲ	Beruhigen, Befrieden
წარსამართებელ-ყოფა-ჲ	Machen, Voranbringen
შეუცვალებელ-ყოფა-ჲ	Unveränderlichkeit
მომმადლებელ-ყოფა-ჲ	Verleihen, Schenken
დაუბრკოლებელ-ყოფა-ჲ	Unfehlbarkeit
აღმასრულებელ-ყოფა-ჲ	Erfüllen, Ausführen, Vollenden
შესაძლებელ-ყოფა-ჲ	Können, Vermögen
შემძლებელ-ყოფა-ჲ	Können, Vermögen
მბრძანებელ-ყოფა-ჲ	Herrschen
განსასუენებელ-ყოფა-ჲ	Bewirtung
აღმაშენებელ-ყოფა-ჲ	Güte, Barmherzigkeit
საპოვნებელ-ყოფა-ჲ	Finden, Suchen
შეუშინებელ-ყოფა-ჲ	Furchtlosigkeit
წარმომაჩინებელ-ყოფა-ჲ	Offenbaren
მაოცნებელ-ყოფა-ჲ	Vortäuschen, Vorgeben
უზიარებელ-ყოფა-ჲ	Ausschluß aus der Kirche
თანამცხორებელ-ყოფა-ჲ	Zusammenleben, Beischlaf
სამოძღურებელ-ყოფა-ჲ	Lehren
მიმღებელ-ყოფა-ჲ	Wegnahme; Gutheißen, Anerkennen, Anhören
დაუმტკიცებელ-ყოფა-ჲ	Nichtbestätigung
მცხებელ-ყოფა-ჲ	Salben, Einreiben; Verleihen
მგალობელ-ყოფა-ჲ	Gesang
გელ-ყოფა-ჲ	Zügeln, Fesseln
სასყიდელ-ყოფა-ჲ	Kaufen
საზრდელ-ყოფა-ჲ	Essen
გამომცდელ-ყოფა-ჲ	Prüfen, Erproben
მიმხედველ-ყოფა-ჲ	Hinsehen
მიმზიდველ-ყოფა-ჲ	gewaltsames Wegführen
საზღვეველ-ყოფა-ჲ	Bezahlenlassen
განსალეველ-ყოფა-ჲ	Vernichten; Vernichten
განუბნეველ-ყოფა-ჲ	Aufmerksamkeit
გამომრჩეველ-ყოფა-ჲ	Auslesen, Aussuchen, Auswählen
მოუქცეველ-ყოფა-ჲ	Reuelosigkeit
უკრძალველ-ყოფა-ჲ	Unvorsichtigkeit
თანამკუთნველ-ყოფა-ჲ	Bekenntnis zum gleichen Glauben
მზრუნველ-ყოფა-ჲ	Betreuung, Pflege
უზრუნველ-ყოფა-ჲ	Sichern, Garantieren, Gewährleisten, Betreuen
პირველ-ყოფა-ჲ	Leitung, Führung
თანამლოცველ-ყოფა-ჲ	gemeinsames Beten
მიმცემელ-ყოფა-ჲ	Geben, Ausliefern, Schenken
განმცემელ-ყოფა-ჲ	Geben, Ausliefern, Verraten
ზედამდგომელ-ყოფა-ჲ	Führung, Leitung
წინააღუდგომელ-ყოფა-ჲ	Fügsamkeit, Gehorsam
განმცხრომელ-ყოფა-ჲ	Unterhaltung, Feiern
გამომხუმელ-ყოფა-ჲ	Herausholen, Herausbringen
სასმენელ-ყოფა-ჲ	Hören, Verstehen
უსმენელ-ყოფა-ჲ	Mißachtung
განსალევნელ-ყოფა-ჲ	Vernichten
საპოვნელ-ყოფა-ჲ	Finden, Suchen
შესადგინელ-ყოფა-ჲ	Hinzufügen, Angemessenheit
უუკუანაჲსკნელ-ყოფა-ჲ	ganz ans Ende stellen
სამღერელ-ყოფა-ჲ	Verspotten, Auslachen
აღმწერელ-ყოფა-ჲ	Beschreibung
შეურაცხსაყოფელ-ყოფა-ჲ	Abfälligbetrachten, Mißachten
სახელ-ყოფა-ჲ	Nennen
დაუღრეჯელ-ყოფა-ჲ	Unbetrübtheit, Fröhlichkeit
ჴელ-ყოფა-ჲ	Beginnen, Machen, Berühren
მართლ-ყოფა-ჲ	Berichtigen
შეწყობილ-ყოფა-ჲ	Anpassen, Abstimmen
განწმედილ-ყოფა-ჲ	Reinigen
გამოცდილ-ყოფა-ჲ	Prüfen; Erkennen
ადვილ-ყოფა-ჲ	leichtes Ausführen / Tun / Machen
დავრდომილ-ყოფა-ჲ	Hinfälligkeit
განყოფილ-ყოფა-ჲ	Teilen, Entfernen
მორჩილ-ყოფა-ჲ	Unterwerfen, Unterwerfung
ერთნაწილ-ყოფა-ჲ	Einheit
განმზადებულ-ყოფა-ჲ	Vorbereiten
დაწინდებულ-ყოფა-ჲ	Verloben
წარმართებულ-ყოფა-ჲ	gutes Vorankommen
დაკლებულ-ყოფა-ჲ	Vermindern, Verringern
წამებულ-ყოფა-ჲ	Bezeugen, Bestätigen
ძღუანებულ-ყოფა-ჲ	Wegschicken
შეჩუენებულ-ყოფა-ჲ	Verfluchen, Verwünschen; Trennen
დაკნინებულ-ყოფა-ჲ	Erniedrigen
თანაცხორებულ-ყოფა-ჲ	Zusammenleben
შეწყუდეულ-ყოფა-ჲ	Einsperren, Einzwängen
სნეულ-ყოფა-ჲ	Krankheit
პატიჟეულ-ყოფა-ჲ	Bestrafen
შემშჭუალულ-ყოფა-ჲ	Verbindung, Verknüpfung, Durchdringung
განმშჭუალულ-ყოფა-ჲ	Umgeben, Durchdringen
განსაგზლულ-ყოფა-ჲ	Bereitung der Wegzehrung zur Mitnahme
მხიარულ-ყოფა-ჲ	Freude
უყუარულ-ყოფა-ჲ	Haß
ვეცხლისუყუარულ-ყოფა-ჲ	Geldverachtung
სრულ-ყოფა-ჲ	Vollendung
ცრუმოციქულ-ყოფა-ჲ	falsches Aposteltum
დასაბამ-ყოფა-ჲ	Beginnen
წინააღმდგომ-ყოფა-ჲ	Widerspenstigkeit, Widerstand
ჰრომ-ყოფა-ჲ	Römertum, Zumrömerwerden
უქმ-ყოფა-ჲ	Verderben, Nichtigmachen
ყუავილოვან-ყოფა-ჲ	Aufblühen
მცირეწარსაგებელიან-ყოფა-ჲ	geringes Ausgeben
გჳრგჳნოსან-ყოფა-ჲ	Krönen, Krönung
ბრძენ-ყოფა-ჲ	Weisewerden, Klugwerden
ვინ-ყოფა-ჲ	Herkunft
უღმრთო-ყოფა-ჲ	gottloses Verhalten
საეშმაკო-ყოფა-ჲ	Verführung
უბრალო-ყოფა-ჲ	Rechtfertigung
უმრავლო-ყოფა-ჲ	Verminderung
უნაკლულო-ყოფა-ჲ	Mangellosigkeit
საჭირო-ყოფა-ჲ	Notwendigkeit
სამსახურო-ყოფა-ჲ	Dienen, Gebrauchen
უმსგავსო-ყოფა-ჲ	Unvergleichlichkeit
უბიწო-ყოფა-ჲ	Reinigen, Läutern
იავარ-ყოფა-ჲ	Rauben, Plündern; Rauben, Plündern
მტყუვარ-ყოფა-ჲ	Alslügebetrachten
ჰამარ-ყოფა-ჲ	Zählung, Rechnung
სამძიმარ-ყოფა-ჲ	Schwierigkeit, Schwerfallen
საჴმარ-ყოფა-ჲ	Brauchen, Verwenden
მოცინარ-ყოფა-ჲ	Lachen, Verlachen
ზღაპარ-ყოფა-ჲ	Verwandlung in ein Märchen, Lügenerzählen
წინამძღუარ-ყოფა-ჲ	Führung
ვაჭარ-ყოფა-ჲ	Verkaufen, Handeln
მკჳდრ-ყოფა-ჲ	Ansiedeln, Siedeln
ლმობიერ-ყოფა-ჲ	Mitgefühl
ცალიერ-ყოფა-ჲ	Nichtigmachen, Zunichtemachen
ძლიერ-ყოფა-ჲ	Stärkung, Macht
ღონიერ-ყოფა-ჲ	Stärken
თანამეცნიერ-ყოფა-ჲ	Wissen
მზირ-ყოფა-ჲ	Auflauern
გმირ-ყოფა-ჲ	Gigantentum
მოგზაურ-ყოფა-ჲ	Mitreisen, Reisebegleitung
უმჯობეს-ყოფა-ჲ	übertreffen
უპირატეს-ყოფა-ჲ	Zumführermachen
ნების-ყოფა-ჲ	Erfüllung des Wunsches
წყობის-ყოფა-ჲ	Kämpfen, Bekämpfen
თავის-ყოფა-ჲ	Verehrung
პატივის-ყოფა-ჲ	Verehren
მოხილვის-ყოფა-ჲ	Sehen, Betrachten
გელის-ყოფა-ჲ	Zügeln
კეთილის-ყოფა-ჲ	Gutestun
ბრძოლის-ყოფა-ჲ	Kampf, Bekämpfen
წამის-ყოფა-ჲ	Hinweisen, Aufzeigen, Welle
გულისხმის-ყოფა-ჲ	Verstehen, Begreifen, Verständnis, Bemerken, Weisheit
გულისჴმის-ყოფა-ჲ	Verstehen, Begreifen, Verständnis, Bemerken,; Verstehen, Begreifen, Verständnis, Bemerken, Weisheit
პატიჟის-ყოფა-ჲ	Bestrafen
იავარის-ყოფა-ჲ	Rauben, Plündern
უარის-ყოფა-ჲ	Verneinen, Leugnen
ამბოვრის-ყოფა-ჲ	Küssen
ამბორის-ყოფა-ჲ	Küssen
ჰამბორის-ყოფა-ჲ	Küssen; Küssen
ანბორის-ყოფა-ჲ	Küssen; Küssen
სამხრის-ყოფა-ჲ	Frühstücken, Mittagessen
ბოროტის-ყოფა-ჲ	übeltat, Verbrechen
ანგარიშის-ყოფა-ჲ	Zählen, Rechnen
შეურაცხის-ყოფა-ჲ	Mißachten, Verachten, Verwerfen
სიტყჳს-ყოფა-ჲ	Streiten, Rechenschaftslegung
თანახატ-ყოფა-ჲ	ähneln
ჭეშმარიტ-ყოფა-ჲ	Wahrmachung
სტრატიოტ-ყოფა-ჲ	Soldatenberuf, Soldatsein
შეურაცხ-ყოფა-ჲ	Mißachten, Verachten, Verwerfen; Mißachten, Verachten, Verwerfen
დაყოფა-ჲ	Sein, Haltmachen, Schließen, Zumauern
მიმოდაყოფა-ჲ	Schließen; Verstreuen
შთაყოფა-ჲ	Hineinstecken
თანაყოფა-ჲ	Zusammensein, Beischlaf
წინაყოფა-ჲ	Hinstellen, Hinlegen, Geben, Schenken, Reichen, Erfüllen, Vollenden; Gleichnis
არაყოფა-ჲ	Nichtexistenz
ღმერთყოფა-ჲ	Vergöttlichung, Vergötterung
მიყოფა-ჲ	Ausstrecken, Ausbreiten, Berühren, Helfen
ჴელისმიყოფა-ჲ	Berührung
განყოფა-ჲ	Teilen, Verteilen, Ausbreiten
მიმოგანყოფა-ჲ	Teilen, Verteilen
გამოყოფა-ჲ	Herausstrecken, Herausreichen
აღმოყოფა-ჲ	Herausnehmen
უვარყოფა-ჲ	Verneinung
ტურფა-ჲ	schön, kostbar
აქა-ჲ	hiesig, Hiesiges
განხეთქა-ჲ	Spalten, Zerreißen, Durcheinandergeraten
ჭიქა-ჲ	Glas
რქა-ჲ	Horn, Horngefäß, Sproß, Trieb, Schote, Eichel; Häkchen, Stück einer Linie; Kraft; Rahe
ბირქა-ჲ	Grube
მარტორქა-ჲ	Einhorn; Wildrind
პასქა-ჲ	Fest der Juden zur Erinnerung an den Auszug aus ägypten; Opfer aus Anlaß; Fest der Juden zur Erinnerung an den Auszug aus ägypten; Opfer aus Anlaß dieses Festes; Osterfest
ზუზღა-ჲ	Eiter
ჟუჟღა-ჲ	Eiter
ნაყა-ჲ	Zerstoßen, Zerstampfen
დაყიყა-ჲ	Minute
ბერტყა-ჲ	Schlagen, Schütteln, Ausklopfen
დამწყა-ჲ	Abrichten
შეშა-ჲ	Holz, Brennholz
დროშა-ჲ	Fahne
მუშა-ჲ	Arbeiter; Arbeiter
ქჳშა-ჲ	Kies, Sand
მქჳშა-ჲ	Kies, Sand; Kies, Sand
დარჩა-ჲ	Bestrafen, Richten
განრჩა-ჲ	Richten
ცა-ჲ	Himmel; Decke
კაცა-ჲ	Männchen
ზეცა-ჲ	Himmel
შეკეცა-ჲ	Falten
კუეცა-ჲ	Abschneiden
აღკუეცა-ჲ	Einschneiden, Beschneiden, Mönchwerden
სამცა-ჲ	dritter Himmel
ჴოცა-ჲ	Vernichtung, Ausrottung
აჴოცა-ჲ	Vernichten, Entfernen
განჴოცა-ჲ	Reinigen
მოჴოცა-ჲ	Säubern, Wegwischen, Vernichten
წარჴოცა-ჲ	Reinigen, Abwischen, Vernichten
აღჴოცა-ჲ	Vernichten
აღძურცა-ჲ	Ausziehen, Entfernen
ძაძა-ჲ	Trauerkleidung, grobes Gewebe; Sackleinen
მამისბიძა-ჲ	Onkel des Vaters
მორეწა-ჲ	Erwerben, Gewinnen
შემოხუეწა-ჲ	Flehen, Bitten
მიწა-ჲ	Erde, Staub, Boden
ღუწა-ჲ	Fürsorge, Arbeit
ნეჭა-ჲ	Bastmatte
ხუეჭა-ჲ	Wegnahme, Entreißen
მიხუეჭა-ჲ	Rauben, Wegnehmen
მოხუეჭა-ჲ	Wegnehmen, Rauben, Aneignung
ღჳნჭა-ჲ	Kieselstein; Kieselstein
გლახა-ჲ	armselig, arm; schlecht
შეგრეხა-ჲ	Drehen, Zwirnen, Spinnen
განტეხა-ჲ	Brechen, Zerbrechen
მეხისტეხა-ჲ	Donner, Donnerschlag
აღტეხა-ჲ	Empörung, Erregung, Aufwiegelung
თხა-ჲ	Ziege
კათხა-ჲ	Holzbecher
კემხა-ჲ	Hinterkopf
ოხა-ჲ	Vermittlung, Anflehen, Vertrauen
ზროხა-ჲ	Kuh, Rind
ძროხა-ჲ	Kuh, Rind
ნუსხა-ჲ	Geschriebenes, Abgeschriebenes, Abschrift, Handschrift
მუხა-ჲ	Eiche
ფხა-ჲ	Granne, Gräte
რაცხა-ჲ	Zählen, Auflisten, Dafürhalten
ტომის-რაცხა-ჲ	Volkszählung
ტოჰმის-რაცხა-ჲ	Volkszählung
განრაცხა-ჲ	Zählen
აღრაცხა-ჲ	Zählen
განრცხა-ჲ	Waschen, Abwaschen, Reinigen
დარაჯა-ჲ	Grad, Stufe
გლეჯა-ჲ	Zerfetzen
დაგლეჯა-ჲ	Zerreißen, Zerfetzen
მჯა-ჲ	Weizenstroh, Weizenhalme
რჯა-ჲ	Beschluß, Urteil
გასჯა-ჲ	Richten
დასჯა-ჲ	Bestrafen, Richten
განსჯა-ჲ	Richten
შჯა-ჲ	Richten, Bestrafen
დაშჯა-ჲ	Bestrafen, Richten
თანშეშჯა-ჲ	Verbinden, Verknüpfen
განშჯა-ჲ	Richten
მარვაჰა-ჲ	Korb
ალელუჲა-ჲ	Halleluja; Halleluja
ღჳა-ჲ	Wacholder
თიჴა-ჲ	Lehm, Schlamm, Ton
ჩოჴა-ჲ	Mönchskutte
კჳრიაე-ჲ	Sonntag; Sonntag
მოსენაე-ჲ	Einsiedler, Mönch in einer Einsiedelei; Einsiedler, Mönch in einer Einsiedelei
მესირაე-ჲ	Schilfflechter
სააფრაე-ჲ	Segeltuch
კჳრაე-ჲ	Sonntag; Sonntag
სადროშაე-ჲ	Fahnen-
სიუდბე-ჲ	Faulheit, Untauglichkeit
მემცნებე-ჲ	vertrauenswürdig
თბე-ჲ	Sauerteig
სათიბე-ჲ	Heuwiese
კიბე-ჲ	Leiter
მოტკბე-ჲ	süßlich
საჴამლობე-ჲ	Schuhe
ღობე-ჲ	Zaun, Mauer
მჯობე-ჲ	besser, übertreffend; besser, übertreffend
უმჯობე-ჲ	bester, besserer; bester, besserer
მეხარბე-ჲ	Schwertträger, Scharfrichter, Henker
სიხარბე-ჲ	Gier
სილირბე-ჲ	Dreistheit, Unverschämtheit
მსრბე-ჲ	Läufer
უბე-ჲ	Schoß, Bauch, Meerbusen; Segel, Seite
სიუცბე-ჲ	Unwissenheit
ბაგე-ჲ	Lippe, Sprache; Rand; Strand, Ufer
ღრმაბაგე-ჲ	stotternd
საქულბაგე-ჲ	Ort für einen Laden
მექულბაგე-ჲ	Ladenbesitzer, Verkäufer
სისადაგე-ჲ	Einfachheit, Gewöhnlichkeit
მეჯადაგე-ჲ	Schneider (?)
სანოვაგე-ჲ	Nahrung, Speise
სასანოვაგე-ჲ	Speisen-, Essen-, Geschirr
მენოვაგე-ჲ	Spieler, Musikant
მელაზმაგე-ჲ	mit Gold oder Silber beschlagen
სასურმაგე-ჲ	Farbgefäß
სანოაგე-ჲ	Nahrung, Speise; Nahrung, Speise
მენოაგე-ჲ	Spieler, Musikant
მემარაგე-ჲ	Astrologe
სივერაგე-ჲ	Heimtücke
საგუშაგე-ჲ	Wachturm, Leuchtturm
მოძაგე-ჲ	verabscheuend
მემაეგე-ჲ	machend, tuend
მედილეგე-ჲ	Gefängnisdirektor
უარზანიგე-ჲ	würdiger, sehr würdig
განმგე-ჲ	Leiter, Verwalter
მეჩანგე-ჲ	Tschangispieler
მენიჯოგე-ჲ	Speerträger, Waffenträger
სანერგე-ჲ	Schonung, Garten
მენერგე-ჲ	Gärtner
ბადე-ჲ	Netz
სიწულილადე-ჲ	Winzigkeit
ძგიდე-ჲ	Absatz (einer Treppe)
სიდიდე-ჲ	Größe, Höhe
კიდე-ჲ	Rand, Seite, Grenze, Ufer, Küste, Spitze, Ende, Extremitäten (Glieder)
მდინარისკიდე-ჲ	Flußufer
ცისკიდე-ჲ	Welt
ზღჳსკიდე-ჲ	Meeresküste
სიწმიდე-ჲ	Reinheit, Heiligkeit; Heiligtum, Tempelschatz
უწმიდე-ჲ	überaus rein
